SSID,Signal Strength (dBm),MAC address,X Position,Y Position
USTH_404,-90,28:6c:07:c7:26:03,-4,-7
USTH-Rector Board,-87,78:44:76:99:47:38,-4,-6
USTH_Guest,-81,48:9b:d5:c5:67:82,-4,-5
USTH_MGMT,-81,48:9b:d5:c5:67:83,-4,-5
USTH_Office,-80,48:9b:d5:c5:67:80,-4,-5
USTH_Guest,-85,48:9b:d5:c5:67:82,-4,-4
USTH_Guest,-86,48:9b:d5:c5:e6:f2,-4,-4
USTH_Guest,-82,48:9b:d5:c5:67:82,-4,-4
USTH_MGMT,-84,48:9b:d5:c5:67:83,-4,-4
USTH_MGMT,-85,48:9b:d5:c5:e6:f3,-4,-4
USTH_MGMT,-81,48:9b:d5:c5:67:83,-4,-4
USTH_Office,-84,48:9b:d5:c5:67:80,-4,-4
USTH_Office,-85,48:9b:d5:c5:e6:f0,-4,-4
USTH_Office,-81,48:9b:d5:c5:67:80,-4,-4
USTH_Student,-85,48:9b:d5:c5:67:81,-4,-4
USTH_Student,-86,48:9b:d5:c5:e6:f1,-4,-4
USTH_Student,-82,48:9b:d5:c5:67:81,-4,-4
USTH_MGMT,-82,48:9b:d5:c5:67:83,-4,-3
USTH_Office,-79,48:9b:d5:c5:67:80,-4,-3
USTH_Guest,-78,48:9b:d5:c5:67:82,-3,-4
USTH_Guest,-85,48:9b:d5:c5:e6:f2,-3,-4
USTH_Guest,-74,48:9b:d5:c5:67:82,-3,-4
USTH_Guest,-84,48:9b:d5:c5:e6:f2,-3,-4
USTH_Guest,-86,94:9b:2c:21:73:62,-3,-4
USTH_MGMT,-78,48:9b:d5:c5:67:83,-3,-4
USTH_MGMT,-84,48:9b:d5:c5:e6:f3,-3,-4
USTH_MGMT,-73,48:9b:d5:c5:67:83,-3,-4
USTH_MGMT,-84,48:9b:d5:c5:e6:f3,-3,-4
USTH_Office,-77,48:9b:d5:c5:67:80,-3,-4
USTH_Office,-85,48:9b:d5:c5:e6:f0,-3,-4
USTH_Office,-84,48:9b:d5:c5:e6:f0,-3,-4
USTH_Office,-88,94:9b:2c:21:73:60,-3,-4
USTH_Student,-78,48:9b:d5:c5:67:81,-3,-4
USTH_Student,-84,48:9b:d5:c5:e6:f1,-3,-4
USTH_Student,-84,48:9b:d5:c5:e6:f1,-3,-4
USTH_404,-86,28:6c:07:c7:26:03,-3,-3
USTH_Guest,-86,48:9b:d5:c5:e6:f2,-3,-3
USTH_MGMT,-87,48:9b:d5:c5:e6:f3,-3,-3
USTH_MGMT,-75,48:9b:d5:c5:67:83,-3,-3
USTH_MGMT,-91,b8:50:01:db:75:23,-3,-3
USTH_Office,-86,48:9b:d5:c5:e6:f0,-3,-3
USTH_Student,-87,48:9b:d5:c5:e6:f1,-3,-3
USTH_Guest,-77,48:9b:d5:c5:67:82,-2,-3
USTH_Guest,-79,48:9b:d5:c5:e6:f2,-2,-3
USTH_Guest,-85,dc:b8:08:4c:3d:f2,-2,-3
USTH_Guest,-88,94:9b:2c:21:7c:72,-2,-3
USTH_Guest,-79,48:9b:d5:c5:67:82,-2,-3
USTH_Guest,-82,48:9b:d5:c5:e6:f2,-2,-3
USTH_Guest,-87,dc:b8:08:4c:3d:f2,-2,-3
USTH_Guest,-75,48:9b:d5:c5:e6:f2,-2,-3
USTH_Guest,-83,dc:b8:08:4c:3d:f2,-2,-3
USTH_Guest,-84,94:9b:2c:21:73:62,-2,-3
USTH_MGMT,-76,48:9b:d5:c5:67:83,-2,-3
USTH_MGMT,-79,48:9b:d5:c5:e6:f3,-2,-3
USTH_MGMT,-88,dc:b8:08:4c:3d:f3,-2,-3
USTH_MGMT,-79,48:9b:d5:c5:67:83,-2,-3
USTH_MGMT,-81,48:9b:d5:c5:e6:f3,-2,-3
USTH_MGMT,-85,dc:b8:08:4c:3d:f3,-2,-3
USTH_MGMT,-76,48:9b:d5:c5:e6:f3,-2,-3
USTH_MGMT,-83,dc:b8:08:4c:3d:f3,-2,-3
USTH_Office,-77,48:9b:d5:c5:67:80,-2,-3
USTH_Office,-79,48:9b:d5:c5:e6:f0,-2,-3
USTH_Office,-87,dc:b8:08:4c:3d:f0,-2,-3
USTH_Office,-79,48:9b:d5:c5:67:80,-2,-3
USTH_Office,-81,48:9b:d5:c5:e6:f0,-2,-3
USTH_Office,-85,dc:b8:08:4c:3d:f0,-2,-3
USTH_Office,-75,48:9b:d5:c5:e6:f0,-2,-3
USTH_Office,-83,dc:b8:08:4c:3d:f0,-2,-3
USTH_Student,-77,48:9b:d5:c5:67:81,-2,-3
USTH_Student,-79,48:9b:d5:c5:e6:f1,-2,-3
USTH_Student,-87,dc:b8:08:4c:3d:f1,-2,-3
USTH_Student,-74,48:9b:d5:c5:67:81,-2,-3
USTH_Student,-81,48:9b:d5:c5:e6:f1,-2,-3
USTH_Student,-84,dc:b8:08:4c:3d:f1,-2,-3
USTH_Student,-76,48:9b:d5:c5:e6:f1,-2,-3
USTH_Student,-83,dc:b8:08:4c:3d:f1,-2,-3
